imdb_title_id,title,year,genre,duration,avg_vote,votes,language
tt0822847,priest,2011,"Action, Horror, Thriller",87,5.7,113397,English
tt0825283,maximum ride,2016,"Action, Adventure, Comedy",88,3.6,4119,English
tt0829150,dracula untold,2014,"Action, Drama, Fantasy",92,6.3,174045,"English, Turkish"
tt0831387,godzilla,2014,"Action, Adventure, Sci-Fi",123,6.4,369814,"English, Japanese"
tt0835418,provetta damore,2012,Comedy,95,4.9,8339,English
tt0835775,electric slide,2014,"Action, Biography, Crime",95,4.7,790,English
tt0835802,krystal,2017,"Comedy, Drama",90,5.4,1255,English
tt0837562,hotel transylvania,2012,"Animation, Comedy, Family",91,7.1,218566,English
tt0842926,i ragazzi stanno bene,2010,"Comedy, Drama, Romance",106,7.0,124375,English
tt0844993,hoodwinked too hood vs evil,2011,"Animation, Comedy, Crime",87,4.7,11962,English
tt0846004,gangster exchange,2010,"Action, Comedy",95,4.4,445,English
tt0847180,loot,2011,"Action, Comedy, Crime",110,3.3,293,"Hindi, English"
tt0847215,neowolf,2010,"Horror, Thriller",88,2.1,429,English
tt0848228,the avengers,2012,"Action, Adventure, Sci-Fi",143,8.0,1241220,"English, Russian, Hindi"
tt0848554,travis,2016,"Horror, Sci-Fi, Thriller",98,3.7,799,English
tt0850677,jack  diane,2012,"Drama, Horror, Romance",110,4.4,2661,English
tt0851471,sir billi,2012,"Animation, Adventure, Comedy",76,3.6,519,English
tt0857190,the sweeney,2012,"Action, Crime, Drama",112,6.1,18613,"English, Serbian"
tt0858411,2001 maniacs field of screams,2010,"Comedy, Horror",84,3.2,2235,English
tt0859635,super troopers 2,2018,"Comedy, Crime, Mystery",100,6.0,23256,English
tt0862748,lupin iii,2014,"Action, Adventure, Comedy",133,5.5,1455,"English, Japanese, Cantonese, Mandarin, Thai"
tt0864835,mr peabody e sherman,2014,"Animation, Adventure, Comedy",92,6.8,61042,English
tt0865561,6 month rule,2011,Comedy,100,4.9,631,English
tt0872230,my soul to take  il cacciatore di anime,2010,"Horror, Mystery, Thriller",107,4.8,19298,English
tt0873886,red state,2011,"Action, Crime, Horror",88,6.2,61377,English
tt0875613,rift,2011,"Horror, Thriller",100,2.5,409,English
tt0878814,una bugia per amore,2012,"Comedy, Romance",90,4.4,1463,English
tt0878835,please give,2010,"Comedy, Drama",87,6.6,10928,English
tt0881320,sanctum,2011,"Action, Adventure, Drama",108,5.9,52963,English
tt0882977,snitch  linfiltrato,2013,"Action, Drama, Thriller",112,6.4,81909,"English, Spanish"
tt0884214,wreckage,2010,"Horror, Thriller",87,4.2,1085,English
tt0884732,un testimone in affitto,2015,Comedy,101,6.6,69920,"English, Ukrainian"
tt0887143,hyenas,2011,Horror,92,2.7,969,English
tt0887161,repo,2010,"Comedy, Drama",97,3.9,221,English
tt0889573,due cuori e una provetta,2010,"Comedy, Drama, Romance",101,6.1,95518,English
tt0892318,letters to juliet,2010,"Adventure, Comedy, Drama",105,6.5,90637,"English, Italian, Spanish"
tt0892769,dragon trainer,2010,"Animation, Action, Adventure",98,8.1,651499,English
