imdb_title_id,title,year,genre,num_recommendations,domestic_gross,foreign_gross,total_revenue,foreign_share,genre_filtered
tt0993842      ,hanna                                                                                                                                                                                                                                                                                                                                                                                                           ,2011,"Action, Drama, Thriller",68,40259119,25084575,65343694,0.383886699,Action
tt1535108      ,elysium                                                                                                                                                                                                                                                                                                                                                                                                         ,2013,"Action, Drama, Sci-Fi",68,93050117,193141974,286192091,0.674868314,Action
tt2140479      ,the accountant                                                                                                                                                                                                                                                                                                                                                                                                  ,2016,"Action, Crime, Drama",68,86260045,66702038,152962083,0.436069101,Action
tt1862079      ,safety not guaranteed                                                                                                                                                                                                                                                                                                                                                                                           ,2012,"Comedy, Drama, Romance",67,4010957,411361,4422318,0.093019317,Comedy
tt1588173      ,warm bodies                                                                                                                                                                                                                                                                                                                                                                                                     ,2013,"Comedy, Horror, Romance",63,66380662,48740946,115121608,0.423386598,Horror
tt1979320      ,rush                                                                                                                                                                                                                                                                                                                                                                                                            ,2013,"Action, Biography, Drama",61,26947624,71283215,98230839,0.725670428,Action
tt1656190      ,safe                                                                                                                                                                                                                                                                                                                                                                                                            ,2012,"Action, Crime, Thriller",61,17142080,24353133,41495213,0.586890179,Action
tt1637688      ,in time                                                                                                                                                                                                                                                                                                                                                                                                         ,2011,"Action, Sci-Fi, Thriller",61,37553932,127550020,165103952,0.772543712,Action
tt4218696      ,the wall                                                                                                                                                                                                                                                                                                                                                                                                        ,2017,"Action, Drama, Thriller",60,1803064,2692198,4495262,0.598896794,Action
tt1038686      ,legion                                                                                                                                                                                                                                                                                                                                                                                                          ,2010,"Action, Fantasy, Horror",59,40168080,27479494,67647574,0.406215513,Horror
tt1092026      ,paul                                                                                                                                                                                                                                                                                                                                                                                                            ,2011,"Adventure, Comedy, Sci-Fi",58,37412945,63749161,101162106,0.630168385,Comedy
tt3504048      ,housebound                                                                                                                                                                                                                                                                                                                                                                                                      ,2014,"Comedy, Horror, Mystery",58,0,236863,236863,1.0,Horror
tt0401729      ,john carter                                                                                                                                                                                                                                                                                                                                                                                                     ,2012,"Action, Adventure, Sci-Fi",57,73058679,209719421,282778100,0.741639544,Action
tt1692486      ,carnage                                                                                                                                                                                                                                                                                                                                                                                                         ,2011,"Comedy, Drama",57,2546747,35565407,38112154,0.933177563,Comedy
tt1840309      ,divergent                                                                                                                                                                                                                                                                                                                                                                                                       ,2014,"Action, Adventure, Mystery",56,150947895,125067070,276014965,0.45311699,Action
tt1321870      ,gangster squad                                                                                                                                                                                                                                                                                                                                                                                                  ,2013,"Action, Crime, Drama",56,46000903,58100000,104100903,0.558112354,Action
tt1314655      ,devil                                                                                                                                                                                                                                                                                                                                                                                                           ,2010,"Horror, Mystery, Thriller",56,33679655,29674459,63354114,0.468390403,Horror
tt1192628      ,rango                                                                                                                                                                                                                                                                                                                                                                                                           ,2011,"Animation, Adventure, Comedy",56,123477607,122246993,245724600,0.497495949,Comedy
tt2719848      ,everest                                                                                                                                                                                                                                                                                                                                                                                                         ,2015,"Action, Adventure, Biography",55,43482270,177814791,221297061,0.80351176,Action
tt6966692      ,green book                                                                                                                                                                                                                                                                                                                                                                                                      ,2018,"Biography, Comedy, Drama",55,85080171,236954268,322034439,0.735804123,Comedy
tt2719848      ,everest                                                                                                                                                                                                                                                                                                                                                                                                         ,2015,"Action, Adventure, Biography",55,43482270,177814791,221297061,0.80351176,Action
tt1242432      ,i spit on your grave                                                                                                                                                                                                                                                                                                                                                                                            ,2010,"Horror, Thriller",54,93051,1185420,1278471,0.927216965,Horror
tt0800369      ,thor                                                                                                                                                                                                                                                                                                                                                                                                            ,2011,"Action, Adventure, Fantasy",54,181030624,268295994,449326618,0.597106833,Action
tt1974419      ,the neon demon                                                                                                                                                                                                                                                                                                                                                                                                  ,2016,"Horror, Thriller",53,1333124,2226679,3559803,0.625506243,Horror
tt1540011      ,blair witch                                                                                                                                                                                                                                                                                                                                                                                                     ,2016,"Horror, Mystery, Thriller",52,20777061,18208516,38985577,0.467057753,Horror
tt1540011      ,blair witch                                                                                                                                                                                                                                                                                                                                                                                                     ,2016,"Horror, Mystery, Thriller",52,20777061,18208516,38985577,0.467057753,Horror
tt2872732      ,lucy                                                                                                                                                                                                                                                                                                                                                                                                            ,2014,"Action, Sci-Fi, Thriller",51,126573960,330933816,457507776,0.723340309,Action
tt1341167      ,four lions                                                                                                                                                                                                                                                                                                                                                                                                      ,2010,"Comedy, Crime, Drama",51,310007,2126104,2436111,0.872745125,Comedy
tt1074638      ,skyfall                                                                                                                                                                                                                                                                                                                                                                                                         ,2012,"Action, Adventure, Thriller",50,304360277,806166704,1110526981,0.725931668,Action
tt1999890      ,hell fest                                                                                                                                                                                                                                                                                                                                                                                                       ,2018,"Horror, Thriller",50,11107431,7011800,18119231,0.386981103,Horror
tt3501632      ,thor ragnarok                                                                                                                                                                                                                                                                                                                                                                                                   ,2017,"Action, Adventure, Comedy",49,315058289,531921735,846980024,0.628021582,Action
tt3501632      ,thor ragnarok                                                                                                                                                                                                                                                                                                                                                                                                   ,2017,"Action, Adventure, Comedy",49,315058289,531921735,846980024,0.628021582,Action
tt1598778      ,contagion                                                                                                                                                                                                                                                                                                                                                                                                       ,2011,"Action, Drama, Thriller",48,75658097,61893497,137551594,0.449965683,Action
tt1821549      ,nebraska                                                                                                                                                                                                                                                                                                                                                                                                        ,2013,"Adventure, Comedy, Drama",47,17654912,7106448,24761360,0.286997483,Comedy
